application_number,loan_assessment_date,group,default,credit_score,,,,,
5938,19/11/2014,D,1,3,,,,,
5939,25/02/2013,A,0,1,,,,,
5942,18/03/2014,A,1,7,,,,,
5947,23/03/2013,A,0,1,,,,,
5948,02/01/2013,A,0,1,,,,,
5952,06/03/2013,D,0,9,,,,,
5955,26/03/2014,A,0,6,,,,,
5958,31/07/2014,D,1,7,,,,,
5960,07/12/2013,A,0,1,,,,,
5963,16/02/2013,A,1,3,,,,,
5964,05/03/2013,D,0,3,,,,,
5965,25/07/2013,A,1,8,,,,,
5967,02/04/2013,D,1,10,,,,,
5968,12/02/2014,A,1,4,,,,,
5969,30/09/2013,A,1,3,,,,,
5970,29/05/2013,A,0,1,,,,,
5971,09/09/2013,A,0,2,,,,,
5973,27/06/2013,A,1,1,,,,,
5974,09/08/2013,D,0,6,,,,,
5975,20/02/2014,A,0,1,,,,,
5976,20/03/2014,A,1,1,,,,,
5977,04/12/2014,D,1,10,,,,,
5978,10/08/2013,D,0,8,,,,,
5981,03/06/2014,A,1,1,,,,,
5982,08/05/2013,D,1,4,,,,,
5984,12/02/2014,D,0,2,,,,,
5985,22/02/2013,A,0,1,,,,,
5987,05/02/2013,A,1,6,,,,,
5988,24/03/2013,A,0,3,,,,,
5989,27/01/2014,A,0,1,,,,,
5992,22/01/2013,D,0,3,,,,,
5993,01/12/2013,A,0,2,,,,,
5994,21/04/2013,D,1,8,,,,,
5995,17/09/2013,A,0,6,,,,,
5996,07/10/2014,D,1,8,,,,,
5997,03/12/2013,A,0,6,,,,,
6000,11/01/2013,D,1,5,,,,,
6001,27/08/2014,D,1,10,,,,,
6002,23/12/2013,D,0,2,,,,,
6005,31/10/2013,A,0,7,,,,,
6006,05/08/2013,D,0,6,,,,,
6009,21/10/2013,D,0,2,,,,,
6010,06/10/2013,A,0,1,,,,,
6011,16/05/2013,A,0,7,,,,,
6013,08/11/2013,A,0,2,,,,,
6014,09/04/2014,A,1,8,,,,,
6019,19/02/2013,A,1,2,,,,,
6021,19/03/2013,A,1,4,,,,,
6022,09/03/2014,A,1,3,,,,,
6024,05/03/2014,D,0,2,,,,,
6027,09/05/2013,D,1,9,,,,,
6029,06/03/2013,D,1,3,,,,,
6030,01/10/2013,D,0,4,,,,,
6032,24/11/2013,D,0,8,,,,,
6034,19/09/2013,A,1,7,,,,,
6040,15/09/2014,D,1,9,,,,,
6041,25/02/2014,A,0,1,,,,,
6042,08/02/2013,A,1,4,,,,,
6043,28/03/2013,A,0,3,,,,,
6044,09/11/2014,D,1,8,,,,,
6045,09/12/2013,A,0,3,,,,,
6046,01/02/2013,D,0,3,,,,,
6047,21/02/2014,A,0,5,,,,,
6048,11/10/2013,D,0,8,,,,,
6051,13/11/2013,D,0,7,,,,,
6055,08/05/2014,D,1,3,,,,,
6056,15/10/2014,A,1,8,,,,,
6062,25/09/2013,A,0,2,,,,,
6064,16/12/2013,A,0,2,,,,,
6065,19/05/2013,D,0,6,,,,,
6066,11/11/2013,A,0,5,,,,,
6067,17/07/2014,D,1,7,,,,,
6070,10/05/2013,D,1,1,,,,,
6071,15/12/2013,D,0,3,,,,,
6073,15/12/2013,A,0,5,,,,,
6075,04/05/2013,D,1,8,,,,,
6077,25/05/2013,A,0,4,,,,,
6078,02/12/2013,A,0,2,,,,,
6079,01/04/2013,D,0,7,,,,,
6080,27/04/2013,D,1,2,,,,,
6081,05/08/2013,A,0,5,,,,,
6082,17/06/2013,D,1,5,,,,,
6083,18/04/2013,D,1,3,,,,,
6084,13/12/2013,D,0,2,,,,,
6085,07/10/2013,D,0,4,,,,,
6087,09/01/2013,A,0,4,,,,,
6089,25/11/2013,D,1,5,,,,,
6094,03/12/2014,A,1,10,,,,,
6095,12/01/2013,D,1,10,,,,,
6096,24/12/2014,D,1,9,,,,,
6097,25/05/2014,A,1,9,,,,,
6098,27/08/2013,D,1,5,,,,,
6099,21/05/2013,D,1,10,,,,,
6100,30/03/2013,A,1,1,,,,,
6101,21/08/2013,A,0,2,,,,,
6103,31/07/2014,D,1,7,,,,,
6105,10/10/2013,D,1,2,,,,,
6106,24/08/2013,D,0,6,,,,,
6107,01/01/2014,A,0,8,,,,,
6108,06/08/2013,D,1,5,,,,,
6109,11/09/2013,A,0,3,,,,,
6110,22/11/2013,A,0,3,,,,,
6111,02/01/2013,D,0,1,,,,,
6112,06/01/2014,D,1,1,,,,,
6113,18/02/2013,D,1,6,,,,,
6114,21/08/2013,A,0,5,,,,,
6116,02/08/2013,D,1,6,,,,,
6117,26/11/2013,D,1,8,,,,,
6118,17/01/2014,A,0,5,,,,,
6119,09/04/2013,D,0,10,,,,,
6123,20/12/2013,A,0,3,,,,,
6125,24/03/2014,D,0,1,,,,,
6127,28/10/2013,D,0,1,,,,,
6129,22/08/2013,D,0,1,,,,,
6131,15/12/2013,D,0,1,,,,,
6133,13/02/2013,A,0,1,,,,,
6134,30/09/2013,D,0,4,,,,,
6135,18/09/2013,D,1,4,,,,,
6137,16/01/2013,A,0,1,,,,,
6139,22/02/2014,D,0,10,,,,,
6140,13/01/2014,D,0,10,,,,,
6143,11/05/2013,D,1,4,,,,,
6145,06/09/2013,D,0,6,,,,,
6146,19/02/2013,D,0,7,,,,,
6147,28/10/2013,D,1,6,,,,,
6148,01/05/2013,D,0,2,,,,,
6149,30/04/2014,D,1,5,,,,,
6150,19/04/2013,A,0,2,,,,,
6152,05/02/2014,D,0,2,,,,,
6153,11/02/2013,D,0,5,,,,,
6154,25/02/2013,D,0,3,,,,,
6156,09/02/2013,A,0,1,,,,,
6159,24/02/2013,D,0,10,,,,,
6160,24/04/2013,D,1,8,,,,,
6161,06/04/2013,D,0,4,,,,,
6162,13/11/2013,A,0,3,,,,,
6163,01/12/2013,D,0,6,,,,,
6164,24/02/2014,D,0,1,,,,,
6165,20/04/2013,A,1,2,,,,,
6166,30/08/2014,A,1,5,,,,,
6167,11/09/2013,D,1,6,,,,,
6169,28/02/2013,A,1,9,,,,,
6170,28/11/2014,D,1,9,,,,,
6171,21/06/2013,D,0,1,,,,,
6172,22/04/2013,A,1,7,,,,,
6173,04/03/2013,D,0,1,,,,,
6175,23/08/2013,D,0,4,,,,,
6177,15/01/2014,D,0,9,,,,,
6178,02/01/2014,A,0,4,,,,,
6179,19/05/2013,A,1,6,,,,,
6180,18/01/2013,D,1,3,,,,,
6182,26/02/2013,D,0,5,,,,,
6183,07/03/2013,A,0,6,,,,,
6185,24/12/2013,D,1,9,,,,,
6189,14/01/2013,A,1,2,,,,,
6191,08/05/2013,D,0,5,,,,,
6192,21/02/2013,A,0,2,,,,,
6193,21/10/2013,D,0,5,,,,,
6195,13/11/2013,A,1,5,,,,,
6196,03/02/2014,D,1,8,,,,,
6198,24/09/2013,A,0,4,,,,,
6199,03/01/2013,A,1,9,,,,,
6201,16/10/2013,A,0,1,,,,,
6203,18/03/2013,D,1,3,,,,,
6205,09/01/2013,D,1,1,,,,,
6207,03/04/2013,D,1,8,,,,,
6208,11/01/2013,D,0,6,,,,,
6210,28/07/2014,D,1,10,,,,,
6212,30/03/2013,D,0,1,,,,,
6213,20/03/2013,A,0,2,,,,,
6216,20/04/2013,D,1,4,,,,,
6219,28/03/2013,D,0,8,,,,,
6221,22/01/2013,A,0,2,,,,,
6226,08/04/2013,A,1,1,,,,,
6227,15/04/2013,D,1,7,,,,,
6228,30/10/2013,A,0,1,,,,,
6229,18/03/2013,A,1,5,,,,,
6231,10/10/2013,D,0,5,,,,,
6234,01/08/2013,D,0,7,,,,,
6239,10/09/2013,D,0,1,,,,,
6240,27/01/2013,D,0,1,,,,,
6241,11/10/2013,A,0,2,,,,,
6242,16/01/2014,A,0,1,,,,,
6245,20/02/2014,A,0,9,,,,,
6247,07/01/2013,D,1,7,,,,,
6248,23/10/2013,A,0,1,,,,,
6249,17/05/2013,A,1,3,,,,,
6250,17/01/2013,D,1,9,,,,,
6251,05/10/2013,D,0,4,,,,,
6256,24/01/2013,D,1,7,,,,,
6259,01/01/2014,A,0,1,,,,,
6260,30/04/2014,A,1,8,,,,,
6264,13/02/2014,D,0,10,,,,,
6266,04/05/2013,D,0,3,,,,,
6267,02/06/2014,A,1,1,,,,,
6268,29/01/2014,D,0,3,,,,,
6271,01/01/2014,A,0,3,,,,,
6278,25/03/2014,D,0,2,,,,,
6280,11/04/2013,D,0,7,,,,,
6281,23/08/2013,A,0,4,,,,,
6284,14/05/2013,D,0,5,,,,,
6285,25/05/2013,A,1,3,,,,,
6286,27/09/2013,D,1,9,,,,,
6287,08/04/2013,A,0,1,,,,,
6289,16/05/2013,A,1,6,,,,,
6292,13/02/2014,D,0,1,,,,,
6293,23/02/2013,D,0,1,,,,,
6296,25/08/2013,D,1,5,,,,,
6297,21/05/2013,A,0,7,,,,,
6299,10/09/2013,D,0,5,,,,,
6300,02/01/2014,D,0,5,,,,,
6301,24/08/2013,D,1,4,,,,,
6302,02/02/2014,D,0,3,,,,,
6304,02/07/2014,D,1,9,,,,,
6305,15/01/2014,D,0,3,,,,,
6312,06/08/2014,D,1,5,,,,,
6314,14/09/2013,A,1,6,,,,,
6315,17/11/2013,D,1,3,,,,,
6317,06/04/2013,A,1,6,,,,,
6319,28/01/2014,D,1,9,,,,,
6320,27/08/2014,D,1,10,,,,,
6321,23/02/2013,D,0,6,,,,,
6322,09/11/2014,A,1,6,,,,,
6323,27/04/2013,A,1,1,,,,,
6326,27/01/2013,A,1,8,,,,,
6328,21/10/2013,D,0,2,,,,,
6330,23/04/2013,A,0,5,,,,,
6332,23/05/2014,D,1,4,,,,,
6335,14/02/2014,D,0,2,,,,,
6336,02/01/2013,D,1,9,,,,,
6337,04/02/2014,D,0,5,,,,,
6338,04/01/2013,D,1,5,,,,,
6339,20/10/2014,D,1,5,,,,,
6344,02/05/2013,A,0,7,,,,,
6345,06/08/2013,D,0,3,,,,,
6347,22/08/2013,D,1,10,,,,,
6349,11/09/2013,D,0,2,,,,,
6353,27/05/2013,D,0,1,,,,,
6354,07/05/2013,A,1,3,,,,,
6359,18/12/2013,D,1,6,,,,,
6360,20/03/2014,A,0,3,,,,,
6361,05/01/2013,D,0,7,,,,,
6365,07/04/2013,D,1,9,,,,,
6367,08/05/2013,D,1,7,,,,,
6368,26/05/2013,D,1,10,,,,,
6369,05/12/2013,A,0,5,,,,,
6371,11/01/2013,D,1,9,,,,,
6372,28/10/2014,D,1,6,,,,,
6373,21/01/2013,D,1,10,,,,,
6375,04/03/2013,D,1,6,,,,,
6376,20/09/2013,D,0,1,,,,,
6377,17/09/2014,A,1,7,,,,,
6378,25/04/2013,D,1,7,,,,,
6379,15/01/2013,A,0,6,,,,,
6380,09/08/2013,D,0,7,,,,,
6381,22/02/2013,D,1,6,,,,,
6382,16/01/2013,D,1,2,,,,,
6383,23/12/2013,A,1,1,,,,,
6384,09/11/2013,D,1,8,,,,,
6389,20/12/2014,A,1,7,,,,,
6390,15/08/2013,D,0,1,,,,,
6391,12/05/2013,D,1,8,,,,,
6392,05/03/2013,D,1,1,,,,,
6393,18/05/2014,D,1,6,,,,,
6394,22/01/2013,D,0,2,,,,,
6395,27/08/2013,A,0,1,,,,,
6396,15/03/2013,A,0,1,,,,,
6398,28/03/2013,A,0,2,,,,,
6399,22/03/2013,A,0,3,,,,,
6400,07/12/2013,D,1,4,,,,,
6401,13/02/2013,A,0,1,,,,,
6402,28/02/2014,D,0,3,,,,,
6405,08/08/2013,A,0,1,,,,,
6409,15/11/2014,D,1,2,,,,,
6413,06/08/2013,D,1,4,,,,,
6415,17/09/2013,D,0,8,,,,,
6420,30/04/2013,D,1,9,,,,,
6422,15/10/2013,D,0,9,,,,,
6425,22/01/2014,D,0,2,,,,,
6427,14/11/2013,D,0,2,,,,,
6428,11/07/2014,A,1,10,,,,,
6430,22/04/2013,D,0,1,,,,,
6432,11/02/2013,A,0,5,,,,,
6433,13/11/2014,A,1,7,,,,,
6439,28/09/2014,D,1,9,,,,,
6441,12/05/2013,D,0,5,,,,,
6442,03/05/2013,D,1,5,,,,,
6443,14/04/2013,A,0,5,,,,,
6446,22/11/2014,A,1,1,,,,,
6447,09/02/2013,D,0,4,,,,,
6448,12/04/2013,A,1,6,,,,,
6449,13/08/2013,D,1,5,,,,,
6450,10/01/2013,D,0,5,,,,,
6451,01/11/2013,D,1,2,,,,,
6453,12/07/2014,D,1,10,,,,,
6459,12/03/2014,D,1,6,,,,,
6462,12/12/2013,D,1,8,,,,,
6463,25/05/2013,D,0,8,,,,,
6466,18/11/2013,A,0,1,,,,,
6467,06/02/2014,D,0,7,,,,,
6468,08/11/2013,D,0,1,,,,,
6470,04/10/2014,D,1,7,,,,,
6471,22/11/2014,A,1,9,,,,,
6473,11/10/2014,D,1,5,,,,,
6475,29/05/2013,D,0,1,,,,,
6477,13/11/2014,A,1,5,,,,,
6480,18/12/2013,D,1,8,,,,,
6481,31/01/2013,D,1,4,,,,,
6482,26/04/2013,D,1,2,,,,,
6483,09/07/2013,A,0,2,,,,,
6484,11/12/2013,A,0,1,,,,,
6485,27/03/2013,D,0,2,,,,,
6487,13/02/2014,D,0,1,,,,,
6488,30/09/2013,A,0,1,,,,,
6489,09/02/2013,D,1,2,,,,,
6490,12/03/2013,D,1,5,,,,,
6491,02/08/2013,A,1,1,,,,,
6492,12/01/2013,A,0,2,,,,,
6496,31/03/2013,A,0,2,,,,,
6497,08/09/2013,D,1,8,,,,,
6498,15/01/2013,A,0,3,,,,,
6500,02/10/2013,A,0,4,,,,,
6501,07/11/2013,D,0,1,,,,,
6502,30/08/2013,D,1,7,,,,,
6504,19/02/2014,D,1,10,,,,,
6505,26/10/2013,A,0,2,,,,,
6507,23/12/2013,D,1,3,,,,,
6508,20/11/2013,D,0,3,,,,,
6511,24/10/2013,D,1,6,,,,,
6512,06/12/2013,A,0,2,,,,,
6513,22/04/2013,D,1,4,,,,,
6514,10/01/2013,A,0,4,,,,,
6518,06/01/2013,D,0,5,,,,,
6520,22/01/2014,D,0,5,,,,,
6521,20/03/2014,A,1,6,,,,,
6522,22/03/2013,D,1,4,,,,,
6524,25/04/2013,A,0,3,,,,,
6525,11/03/2013,A,1,1,,,,,
6527,02/03/2014,D,0,2,,,,,
6528,31/07/2013,D,1,6,,,,,
6531,20/04/2013,D,1,9,,,,,
6534,20/09/2013,D,0,7,,,,,
6535,25/04/2013,A,1,3,,,,,
6536,15/05/2013,A,0,1,,,,,
6537,23/09/2013,A,1,4,,,,,
6538,20/03/2013,A,1,1,,,,,
6541,18/07/2014,A,1,9,,,,,
6548,19/05/2014,D,1,5,,,,,
6549,24/03/2013,D,1,1,,,,,
6550,26/03/2013,D,1,5,,,,,
6551,24/12/2013,A,0,4,,,,,
6552,06/02/2014,A,1,4,,,,,
6553,03/01/2013,D,0,6,,,,,
6554,21/12/2013,D,0,4,,,,,
6557,15/08/2013,D,0,6,,,,,
6558,13/08/2014,A,1,1,,,,,
6560,02/12/2013,D,0,4,,,,,
6563,27/01/2014,A,1,7,,,,,
6564,22/05/2013,A,1,3,,,,,
6566,07/02/2013,D,1,9,,,,,
6570,08/03/2013,A,0,4,,,,,
6571,15/01/2013,D,1,8,,,,,
6572,11/09/2013,A,0,3,,,,,
6574,27/08/2013,D,1,2,,,,,
6577,08/02/2013,A,1,2,,,,,
6578,06/03/2013,A,0,1,,,,,
6580,18/03/2013,A,0,1,,,,,
6583,05/04/2013,D,0,7,,,,,
6584,11/03/2014,A,0,3,,,,,
6585,20/04/2013,D,1,9,,,,,
6586,07/01/2014,A,1,5,,,,,
6587,15/10/2013,D,1,9,,,,,
6588,07/12/2013,D,0,4,,,,,
6589,25/10/2013,D,1,5,,,,,
6591,24/02/2014,D,0,1,,,,,
6592,06/02/2014,A,0,1,,,,,
6593,18/11/2013,D,0,1,,,,,
6594,15/03/2013,D,0,7,,,,,
6595,20/02/2013,D,0,1,,,,,
6596,24/06/2014,D,1,1,,,,,
6597,18/03/2013,D,1,9,,,,,
6601,24/02/2014,D,0,1,,,,,
6602,30/09/2013,A,1,4,,,,,
6603,07/08/2014,D,1,9,,,,,
6604,26/05/2013,D,1,3,,,,,
6605,23/07/2013,D,0,8,,,,,
6606,01/02/2013,D,0,5,,,,,
6608,10/12/2013,A,1,9,,,,,
6611,04/10/2013,D,0,1,,,,,
6613,14/12/2013,D,1,2,,,,,
6614,22/11/2013,A,0,2,,,,,
6616,04/05/2014,A,1,2,,,,,
6626,26/05/2013,D,0,2,,,,,
6629,14/10/2014,A,1,5,,,,,
6631,02/03/2014,D,1,5,,,,,
6633,14/06/2013,A,0,4,,,,,
6634,15/05/2014,D,1,7,,,,,
6636,31/12/2013,A,0,3,,,,,
6637,24/02/2013,A,0,1,,,,,
6638,16/02/2013,D,1,4,,,,,
6639,10/10/2013,D,0,1,,,,,
6641,01/10/2013,D,1,10,,,,,
6642,14/02/2014,A,0,3,,,,,
6645,06/09/2013,D,0,1,,,,,
6646,05/11/2013,D,1,7,,,,,
6649,29/09/2013,A,1,5,,,,,
6650,18/01/2013,D,1,8,,,,,
6651,01/02/2013,D,0,4,,,,,
6652,23/09/2014,D,1,8,,,,,
6653,06/01/2014,A,0,6,,,,,
6654,11/09/2014,D,1,7,,,,,
6655,30/10/2013,D,0,1,,,,,
6657,07/01/2014,D,1,7,,,,,
6658,17/09/2014,D,1,4,,,,,
6659,02/03/2014,D,0,7,,,,,
6660,11/04/2013,A,1,2,,,,,
6661,30/12/2013,A,0,2,,,,,
6662,22/04/2013,D,0,1,,,,,
6663,03/10/2013,D,0,4,,,,,
6665,25/01/2013,D,0,8,,,,,
6667,30/05/2013,D,0,4,,,,,
6668,28/02/2013,D,1,2,,,,,
6669,22/08/2013,D,0,10,,,,,
6670,21/10/2013,A,1,5,,,,,
6671,10/05/2014,A,1,6,,,,,
6672,25/08/2013,D,1,10,,,,,
6681,24/04/2013,D,1,9,,,,,
6683,24/10/2014,D,1,6,,,,,
6685,09/01/2013,D,0,5,,,,,
6686,21/03/2014,A,1,2,,,,,
6687,17/04/2013,A,1,8,,,,,
6688,10/12/2013,A,0,4,,,,,
6689,10/02/2014,A,0,1,,,,,
6690,17/05/2013,D,1,10,,,,,
6691,20/02/2013,A,0,9,,,,,
6692,12/12/2013,A,0,2,,,,,
6693,15/04/2013,A,0,3,,,,,
6695,31/05/2013,D,0,4,,,,,
6696,10/05/2013,D,0,7,,,,,
6697,07/01/2013,A,0,5,,,,,
6698,03/12/2013,D,1,8,,,,,
6699,06/12/2013,A,0,7,,,,,
6701,25/10/2013,D,0,5,,,,,
6702,29/08/2013,D,0,1,,,,,
6703,25/03/2013,D,0,2,,,,,
6704,17/12/2013,A,0,5,,,,,
6705,13/02/2013,A,0,8,,,,,
6706,04/11/2013,D,1,10,,,,,
6708,02/05/2013,D,1,2,,,,,
6712,07/01/2013,A,0,2,,,,,
6715,04/08/2013,D,0,5,,,,,
6717,19/02/2013,A,0,6,,,,,
6719,28/04/2013,D,1,7,,,,,
6721,25/03/2013,D,0,1,,,,,
6722,27/12/2013,A,0,5,,,,,
6730,16/02/2014,D,0,6,,,,,
6731,10/04/2013,A,0,2,,,,,
6732,29/08/2013,A,1,9,,,,,
6733,01/02/2013,D,0,4,,,,,
6737,31/03/2014,D,1,4,,,,,
6739,30/12/2014,D,1,8,,,,,
6740,19/12/2013,D,1,5,,,,,
6741,10/10/2013,D,0,4,,,,,
6744,10/11/2013,D,1,10,,,,,
6747,07/03/2013,D,1,9,,,,,
6749,25/10/2013,A,0,10,,,,,
6751,28/03/2014,A,1,2,,,,,
6755,19/11/2014,D,1,4,,,,,
6756,24/01/2014,A,1,1,,,,,
6758,25/03/2013,A,1,1,,,,,
6759,17/02/2013,D,1,9,,,,,
6760,04/01/2013,D,0,7,,,,,
6762,11/10/2014,A,1,3,,,,,
6763,11/01/2014,A,0,2,,,,,
6766,26/10/2014,D,1,8,,,,,
6769,23/08/2013,A,0,2,,,,,
6771,04/09/2013,D,0,7,,,,,
6773,28/10/2013,A,0,2,,,,,
6775,26/01/2013,D,1,9,,,,,
6776,09/11/2013,A,0,3,,,,,
6778,22/08/2013,D,0,7,,,,,
6780,20/11/2013,D,0,1,,,,,
6781,15/05/2013,A,0,2,,,,,
6783,06/03/2014,D,1,9,,,,,
6788,06/02/2013,D,0,3,,,,,
6791,27/04/2013,D,0,1,,,,,
6793,20/10/2013,A,0,3,,,,,
6794,27/01/2014,A,1,4,,,,,
6796,28/11/2014,D,1,2,,,,,
6798,19/11/2013,A,0,5,,,,,
6800,10/12/2013,D,0,3,,,,,
6801,04/10/2013,A,0,8,,,,,
6802,10/01/2014,A,0,1,,,,,
6803,09/05/2013,D,1,2,,,,,
6804,15/09/2013,A,1,2,,,,,
6805,25/04/2013,D,1,3,,,,,
6807,16/10/2013,D,1,9,,,,,
6809,20/11/2013,D,0,6,,,,,
6810,23/02/2013,D,1,9,,,,,
6811,17/01/2013,D,1,9,,,,,
6812,19/12/2013,A,0,4,,,,,
6815,20/03/2014,D,0,9,,,,,
6816,05/10/2013,D,0,2,,,,,
6818,14/01/2013,A,1,4,,,,,
6820,07/08/2013,D,0,3,,,,,
6825,29/08/2014,D,1,8,,,,,
6827,22/03/2013,D,1,4,,,,,
6828,15/12/2013,A,0,2,,,,,
6829,09/01/2013,D,1,2,,,,,
6830,03/12/2014,A,1,9,,,,,
6831,30/12/2014,A,1,10,,,,,
6836,26/03/2014,A,1,3,,,,,
6837,29/10/2014,A,1,1,,,,,
6838,07/05/2013,A,1,5,,,,,
6840,04/12/2013,D,1,3,,,,,
6846,05/08/2013,D,1,6,,,,,
6847,31/01/2014,D,0,7,,,,,
6850,25/03/2014,A,1,9,,,,,
6851,27/10/2014,A,1,8,,,,,
6855,03/04/2014,A,1,2,,,,,
6857,20/03/2013,D,0,2,,,,,
6858,12/11/2013,A,0,2,,,,,
6859,16/05/2014,A,1,4,,,,,
6862,17/12/2013,D,1,4,,,,,
6863,24/03/2013,D,0,3,,,,,
6864,10/05/2013,D,1,10,,,,,
6866,29/01/2014,D,0,5,,,,,
6870,20/09/2013,A,0,10,,,,,
6872,08/01/2013,D,0,2,,,,,
6875,07/04/2013,A,0,8,,,,,
6877,17/04/2013,D,0,2,,,,,
6878,12/04/2013,A,1,6,,,,,
6882,13/03/2013,D,1,9,,,,,
6883,13/05/2013,A,0,2,,,,,
6884,11/08/2013,A,0,8,,,,,
6886,12/07/2013,D,1,8,,,,,
6888,09/02/2013,D,0,6,,,,,
6889,20/01/2013,A,1,4,,,,,
6892,24/10/2013,D,1,4,,,,,
6893,02/03/2013,D,0,5,,,,,
6894,01/08/2013,D,0,5,,,,,
6898,26/09/2013,D,0,1,,,,,
6899,10/01/2013,A,0,2,,,,,
6900,26/02/2013,D,1,4,,,,,
6901,23/01/2014,D,0,7,,,,,
6904,23/12/2013,D,0,4,,,,,
6908,12/11/2014,D,1,7,,,,,
6910,09/12/2013,D,1,9,,,,,
6912,26/02/2014,D,0,6,,,,,
6915,13/01/2013,D,1,7,,,,,
6916,23/02/2013,D,0,6,,,,,
6919,10/01/2013,D,1,3,,,,,
6920,06/02/2013,D,0,6,,,,,
6921,01/02/2014,D,0,1,,,,,
6923,06/04/2013,D,0,3,,,,,
6924,04/01/2013,D,1,9,,,,,
6926,05/02/2013,A,1,3,,,,,
6927,12/11/2013,D,1,5,,,,,
6929,07/09/2013,A,0,3,,,,,
6931,04/02/2013,D,0,2,,,,,
6932,10/01/2013,A,1,7,,,,,
6934,19/12/2013,D,0,3,,,,,
6935,27/01/2013,A,1,5,,,,,
6936,16/12/2013,D,1,6,,,,,
6937,17/04/2013,A,0,4,,,,,
6939,16/01/2013,A,0,1,,,,,
6941,18/03/2013,D,1,2,,,,,
6943,20/03/2014,D,1,3,,,,,
6944,18/03/2014,A,0,1,,,,,
6946,03/08/2013,D,1,7,,,,,
6947,14/11/2014,D,1,5,,,,,
6948,18/03/2013,D,0,5,,,,,
6949,09/03/2014,A,1,1,,,,,
6950,09/03/2013,A,0,6,,,,,
6952,03/02/2014,D,0,5,,,,,
6955,28/08/2013,D,1,9,,,,,
6957,02/01/2013,D,1,9,,,,,
6960,28/10/2013,D,0,1,,,,,
6961,19/01/2014,D,1,8,,,,,
6963,02/10/2013,A,0,2,,,,,
6967,24/10/2013,A,0,4,,,,,
6968,20/01/2013,D,1,6,,,,,
6971,16/02/2013,D,1,5,,,,,
6975,08/04/2013,D,1,9,,,,,
6976,10/12/2013,A,0,4,,,,,
6979,23/03/2013,A,0,2,,,,,
6980,14/09/2014,D,1,9,,,,,
6981,18/10/2013,A,1,1,,,,,
6983,28/06/2013,D,0,1,,,,,
6989,29/03/2013,A,1,3,,,,,
6990,07/10/2013,D,0,6,,,,,
6991,30/08/2013,D,1,3,,,,,
6996,03/06/2014,D,1,5,,,,,
6997,27/01/2013,D,1,4,,,,,
6999,20/02/2014,D,0,4,,,,,
7003,15/01/2013,D,1,2,,,,,
7004,04/05/2013,A,0,6,,,,,
7005,25/04/2013,D,0,8,,,,,
7006,19/12/2014,A,1,9,,,,,
7007,30/04/2013,D,0,3,,,,,
7008,30/03/2013,D,1,8,,,,,
7009,02/05/2014,D,1,5,,,,,
7010,13/02/2013,D,1,3,,,,,
7011,05/05/2013,D,0,5,,,,,
7012,20/10/2013,D,0,2,,,,,
7015,09/03/2013,A,0,2,,,,,
7020,07/11/2014,A,1,2,,,,,
7022,06/09/2013,D,1,3,,,,,
7023,30/01/2013,A,0,5,,,,,
7024,11/09/2013,A,0,7,,,,,
7025,26/03/2014,D,1,1,,,,,
7026,10/05/2013,D,0,4,,,,,
7027,15/02/2014,D,1,1,,,,,
7028,22/03/2013,A,1,3,,,,,
7029,05/10/2013,D,1,9,,,,,
7032,24/06/2013,A,0,2,,,,,
7033,24/09/2013,D,1,7,,,,,
7034,25/01/2013,A,1,3,,,,,
7037,30/12/2014,D,1,10,,,,,
7039,26/02/2014,A,1,1,,,,,
7040,07/04/2013,A,0,9,,,,,
7041,01/02/2013,D,1,5,,,,,
7042,06/02/2013,D,1,9,,,,,
7043,28/03/2013,D,0,3,,,,,
7044,30/10/2013,D,0,5,,,,,
7045,06/07/2014,A,1,7,,,,,
7048,08/05/2013,D,1,2,,,,,
7051,18/12/2013,D,0,1,,,,,
7052,20/09/2013,A,0,2,,,,,
7053,13/04/2013,D,0,4,,,,,
7054,11/03/2013,A,0,1,,,,,
7055,30/08/2013,A,0,5,,,,,
7058,09/01/2013,D,0,6,,,,,
7060,21/04/2013,D,0,8,,,,,
7061,16/01/2013,A,1,5,,,,,
7063,18/06/2013,D,1,2,,,,,
7064,27/02/2013,D,1,4,,,,,
7067,01/03/2013,A,1,9,,,,,
7068,20/02/2013,A,0,1,,,,,
7070,07/08/2013,D,0,6,,,,,
7073,06/02/2013,D,1,10,,,,,
7074,09/11/2013,A,1,9,,,,,
7076,10/12/2013,A,1,2,,,,,
7077,07/12/2013,D,1,9,,,,,
7078,05/03/2013,D,1,8,,,,,
7079,08/04/2013,A,0,7,,,,,
7080,01/08/2013,A,0,1,,,,,
7084,22/07/2013,A,0,5,,,,,
7086,31/07/2013,D,1,10,,,,,
7092,07/09/2013,A,0,1,,,,,
7093,07/10/2013,D,0,3,,,,,
7097,25/10/2013,D,0,10,,,,,
7098,22/10/2014,D,1,7,,,,,
7099,14/10/2013,D,0,2,,,,,
7100,01/10/2013,D,1,9,,,,,
7101,14/12/2013,A,0,5,,,,,
7104,24/01/2013,A,1,6,,,,,
7105,05/08/2014,D,1,10,,,,,
7107,24/10/2013,D,1,5,,,,,
7108,04/08/2014,D,1,5,,,,,
7109,05/02/2013,A,0,5,,,,,
7110,04/10/2013,A,0,4,,,,,
7111,12/02/2013,A,1,3,,,,,
7112,17/08/2014,D,1,7,,,,,
7114,11/01/2013,D,1,3,,,,,
